"Index","ExpType","ExpType2","Treatment","UniqueID","Treatment_Rep","Replicate","Organism","Cultivation","Experimentor","Temp","RPM","pH","DO","Volume_mL","Media","Energy_Source","GrowthRate","DoublingTime","r","SacrificeOD","IncubationHours","InoculationDate","ExpName","Substrate_d2H","Water_d2H","Water_d2H_error","n_analyses","BP0_relAbun_mean","BP1_relAbun_mean","BP2_relAbun_mean","BP3_relAbun_mean","BP0_relAbun_error","BP1_relAbun_error","BP2_relAbun_error","BP3_relAbun_error","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP0_d2H_error","BP1_d2H_error","BP2_d2H_error","BP3_d2H_error","RingIndex_GDGT","GDGT0_RelAbun","GDGT1_RelAbun","GDGT2_RelAbun","GDGT3_RelAbun","GDGT4_RelAbun","GDGT5_RelAbun","GDGT6_RelAbun","GDGT7_RelAbun","GDGT8_RelAbun","pch","Col","d2H_wt_mean","d2H_wt_mean_sd","BP0_eps_LW_mean","BP0_eps_LW_error","BP1_eps_LW_mean","BP1_eps_LW_error","BP2_eps_LW_mean","BP2_eps_LW_error","BP3_eps_LW_mean","BP3_eps_LW_error","EpsLW_wt_mean","Wt_mean_Eps_sd","RingIndex_BP","RingIndex_BP_error","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_all","RingDiff_BP1_error","RingDiff_BP2_error","RingDiff_BP3_error","RingDiff_all_error","RingEnrichBP1","RingEnrichBP2","RingEnrichBP3","Col_exp","pch_exp"
84,"2H_Spike","Water","Water_-400","AntarcticWater_Rep1","Water_-400_Rep1","Rep1","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.10379,6.67832323532022,0.98732,0.73,40.06666667,20191118,"Saci 2H2O Label Experiment",-44.5,-357.829377768246,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue",21
85,"2H_Spike","Water","Water_-400","AntarcticWater_Rep2","Water_-400_Rep2","Rep2","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.10234,6.7732149702746,0.98883,0.722,40.06666667,20191118,"Saci 2H2O Label Experiment",-44.5,-362.17131119234,0.5,2,0.218533674842651,0.36090131147566,0.383646516793959,0.0369184968877296,0.00122189701673609,0.00024648866612016,0.00129983413363813,0.000324425783022201,-467.192796306851,-466.56032269504,-470.030783974845,NA,7.11933778066816,4.75583852835785,6.42226017035625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",-468.086306902551,5.92139366874615,-164.654690134486,11.1649067148023,-163.663085926476,7.4609047532233,-169.104141402191,10.0723123742106,NA,NA,-166.0555531113,5.94246606892013,1.23894983572677,0.00278680831070509,0.991604208009704,-3.83289055478377,NA,-2.22472563385261,13.4283372644161,7.30826981796693,NA,NA,0.632473611811008,-2.83798766799401,NA,"blue",21
86,"2H_Spike","Water","Water_-400","AntarcticWater_Rep3","Water_-400_Rep3","Rep3","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.10532,6.58115117129561,0.98722,0.713,40.06666667,20191118,"Saci 2H2O Label Experiment",-44.5,-365.089010796393,0.5,2,0.180898071481763,0.329094401656526,0.414764588744829,0.075242938116882,0.00328875461266528,0.000646903557899864,0.0044204180170879,0.00177856696232246,-471.068153867091,-467.348353934797,-474.611919054966,NA,10.3437452615916,5.76998271747403,6.52030113649552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",-471.333805234226,6.92421271869569,-166.919686180942,16.2937597053772,-161.060912281061,9.09170243906825,-172.501201146245,10.2729379163487,NA,NA,-167.338093440625,6.94224184062664,1.38435239349683,0.0103464278836509,5.85877389988144,-7.11552317391772,NA,-2.79075748265133,18.6586617574019,8.38074088858117,NA,NA,3.719799932294,-3.54376518787501,NA,"blue",21
87,"2H_Spike","Water","Water_-50","LabWater_Rep1","Water_-50_Rep1","Rep1","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.08316,8.33495933957642,0.99803,0.684,46.28333333,20191118,"Saci 2H2O Label Experiment",-44.5,-49.6800484515838,0.5,2,0.187753214268081,0.302688472923009,0.461932432054994,0.0476258807539161,0.000157241237074364,0.00168621317069544,0.00213571058117094,0.00366468251479209,NA,-312.62543188306,-315.569501477571,NA,NA,33.2016830631236,22.5307305499437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",NA,NA,NA,NA,-276.691426927366,34.9377050933129,-279.789404181988,23.7090581432691,NA,NA,NA,NA,1.36943097929475,0.0119145891666954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue",21
88,"2H_Spike","Water","Water_-50","LabWater_Rep2","Water_-50_Rep2","Rep2","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.07833,8.84959913310076,0.99915,0.688,46.28333333,20191118,"Saci 2H2O Label Experiment",-44.5,-47.658821774877,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue",21
89,"2H_Spike","Water","Water_-50","LabWater_Rep3","Water_-50_Rep3","Rep3","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.07939,8.73143655630397,0.99964,0.678,46.28333333,20191118,"Saci 2H2O Label Experiment",-44.5,-47.0065227827519,0.5,2,0.176497329472119,0.303313239939125,0.488618932535297,0.0315704980534585,0.00546959789118076,0.00197121097919715,0.00379872020536969,0.0036420886650083,-288.562335806879,-281.215608772108,-282.05719956022,NA,5.48041416737201,4.01621734898088,3.59121205936978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",-282.979180504571,4.06142303706402,-253.470583796096,5.75287001601735,-245.76147852895,4.21728935180406,-246.644580888233,3.77166423026821,NA,NA,-247.612038658294,4.09208468705063,1.3752625991701,0.0134532547033527,7.70910526714565,1.26494954732406,NA,3.41300145393126,7.13309490319815,3.31063519828498,NA,NA,7.34672703477099,6.50513624665899,NA,"blue",21
90,"2H_Spike","Water","Water_+400","SpikedWater_Rep1","Water_+400_Rep1","Rep1","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.08196,8.45691044424946,0.99839,0.654,46.28333333,20191118,"Saci 2H2O Label Experiment",-44.5,419.999257516272,0.5,2,0.139854121149999,0.276404046503847,0.532987609963081,0.0507542223830722,0.00331149508533739,0.00115652171001965,0.00477027678464114,0.000302259989284023,-80.1534675599351,-32.8177839634038,-11.2898095065566,NA,13.7994272877541,6.40323837934361,4.51863510890811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",-27.7041944809623,6.98907430732028,-352.220413094459,9.71833989993009,-318.885407216128,4.51034547323736,-303.724853896894,3.18364981696833,NA,NA,-315.284285979356,7.00693653983283,1.49464193357923,0.00965308006722152,33.3350058783315,19.704166459008,NA,24.2477795987825,10.7139790320182,3.76245536807246,NA,NA,47.3356835965313,68.8636580533785,NA,"blue",21
91,"2H_Spike","Water","Water_+400","SpikedWater_Rep2","Water_+400_Rep2","Rep2","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.08196,8.45691044424946,0.99839,0.655,46.28333333,20191118,"Saci 2H2O Label Experiment",-44.5,421.721701966065,0.5,2,0.165373726579405,0.287227975144388,0.500909289306272,0.0464890089699343,0.00329943962808312,0.00242389015974286,0.00824452266392882,0.00736897319558857,-50.3696631394272,-22.1174904460146,-19.7083866533245,NA,86.2326936517707,57.9401724231699,51.4903934737371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",-25.7518739467957,59.3465711337697,-332.056101030637,60.653781262588,-312.184298655852,40.7536409171347,-310.489801210002,36.2170585617769,NA,NA,-314.740624198154,59.348677368039,1.42851358066674,0.0276853707388282,19.871802374785,6.23882367808329,NA,10.7831499103172,73.0735275558299,32.4814320302738,NA,NA,28.2521726934126,30.6612764861027,NA,"blue",21
92,"2H_Spike","Water","Water_+400","SpikedWater_Rep3","Water_+400_Rep3","Rep3","Saci","Batch","YZ",70,200,3,NA,125,"Brock","Glucose & NZ-amine",0.08375,8.27597890310867,0.99859,0.64,46.28333333,20191118,"Saci 2H2O Label Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue",21
